account_id,balance,is_joint_account,is_online_access_enabled,status,business_unit_id,mcc_code,transaction_type_id,transaction_amount,method,account_type_id
1,3579.00,N,Y,ACTIVE,1,5912,4,24.50,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5651,1,120.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5814,1,8.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,9999,1,350.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5651,6,12.50,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,3351,4,100.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5942,6,78.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5411,4,69.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5732,5,135.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5411,1,280.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5651,1,48.50,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5411,1,112.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5942,1,82.50,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5942,6,23.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5912,6,147.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5814,6,11.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,9999,1,152.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,3351,1,75.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5411,1,61.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5411,6,173.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,3000,1,210.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5411,1,49.50,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5411,4,212.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,3351,1,70.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,3000,6,170.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5411,1,51.50,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5912,1,77.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5651,1,15.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5411,4,178.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5912,1,77.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,9999,6,34.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5942,4,78.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,3351,1,100.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5732,1,200.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5814,1,11.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5411,1,85.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5651,1,12.50,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,3351,1,105.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5411,1,51.50,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5533,1,90.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5732,1,35.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5732,4,120.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5411,1,85.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5411,6,112.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5814,4,9.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5411,6,69.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5732,6,24.50,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5411,1,33.50,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5411,1,41.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5814,1,7.50,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5651,4,48.50,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5942,4,80.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5942,1,55.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5814,1,7.50,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,3351,1,75.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5912,1,45.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5411,1,49.50,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,9999,1,67.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5942,6,82.50,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5411,4,47.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5411,5,53.50,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5732,6,65.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,9999,1,152.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5814,4,11.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,9999,1,350.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,9999,4,350.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,3000,1,210.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5651,1,35.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5814,6,10.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5814,6,8.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5814,4,11.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5942,4,23.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,3000,1,375.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5732,1,40.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5814,1,7.50,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5411,1,33.50,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5651,1,22.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5912,6,132.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5533,5,90.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,3351,6,55.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,9999,5,350.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5814,5,7.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5411,1,69.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,9999,1,53.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,9999,4,42.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,9999,1,34.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,3351,1,70.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,3000,1,210.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,3000,4,390.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5912,1,101.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5912,4,125.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5411,1,49.50,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5651,1,22.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5411,4,193.50,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,9999,1,42.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5814,1,3.50,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5411,4,69.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5814,6,8.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5814,1,7.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5411,4,112.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5942,4,73.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5942,1,12.00,DEBIT,1
1,3579.00,N,Y,ACTIVE,1,5411,1,47.00,CREDIT,1
1,3579.00,N,Y,ACTIVE,1,5814,6,11.50,DEBIT,1
